Date,Open,Close,High,Low,Volume
04-Oct-13,276.5,278.5,281.4,276.1,6294675
07-Oct-13,278.4,276.6,279.2,275.07,3496726
08-Oct-13,276.8,274.1,276.8,274.1,5822091
09-Oct-13,273.8,274.4,275.1,272.9,4299607
10-Oct-13,275.3,275,276.4,274.5,9573078
11-Oct-13,276,275.6,276,274.6,5943911
14-Oct-13,274.7,279.4,280.83,274.7,16718014
15-Oct-13,280.4,281.7,284.7,280.4,7151374
16-Oct-13,281.7,281.1,282.4,279.61,6142794
17-Oct-13,280.2,283.5,285.2,279.9,7574337
18-Oct-13,284.5,282.5,285.6,281,10000268
21-Oct-13,280,282,282.3,278.3,6019522
22-Oct-13,281.3,283.7,285.2,281.1,6297567
23-Oct-13,284.1,283.1,284.5,280.6,10880180
24-Oct-13,282.9,282.3,284.6,281.7,4938154
25-Oct-13,283.1,282,284.49,280.9,5629419
28-Oct-13,283.1,284.5,284.8,281.2,6045717
29-Oct-13,285.3,286.5,287.4,284.52,6725072
30-Oct-13,286.1,285.4,287.9,284.38,6216818
31-Oct-13,285.4,281.6,286.73,280.6,8985509
01-Nov-13,282.3,281.5,282.55,280.1,3621472
04-Nov-13,282.4,281,282.4,280,4818025
05-Nov-13,281.6,280.2,281.8,278.6,4313052
06-Nov-13,280.6,281,282.1,280,6588133
07-Nov-13,280,280.1,281.9,277.1,11634017
08-Nov-13,279.2,278.4,280.17,277.6,7858729
11-Nov-13,278,275.7,279,275.3,7857162
12-Nov-13,275.3,274.8,276.28,274.4,5635320
13-Nov-13,275,274,275.7,273.8,6780938
14-Nov-13,275.4,266.2,276.1,265.46,14270458
15-Nov-13,267,267.3,269.1,264.8,9304744
18-Nov-13,267.6,268.9,269.5,266.5,4893670
19-Nov-13,268,268.4,268.9,266.04,5289276
20-Nov-13,267.3,266.2,269,265.9,5483142
21-Nov-13,266,266.5,267.6,265.66,4683326
22-Nov-13,268,267.1,269.5,266.5,4925670
25-Nov-13,267.5,266.6,269,265.8,7205598
26-Nov-13,266.5,263.7,266.5,263.1,10747812
27-Nov-13,263.5,263.7,264.2,262.5,4441907
28-Nov-13,263.2,264,265.1,262.5,4797543
29-Nov-13,264.7,265.5,266.51,264,5053391
02-Dec-13,265.8,259.5,266.31,257.7,8022594
03-Dec-13,258.5,259.8,260.3,255.58,10409748
04-Dec-13,261,260.7,262.76,258.3,6416380
05-Dec-13,261,257.8,261,255,7655525
06-Dec-13,261,260.2,262.54,257.8,7260399
09-Dec-13,261,260.3,261.5,259.8,4504704
10-Dec-13,260.9,264,267.4,260.3,6980187
11-Dec-13,265.3,261.2,265.6,261.1,5804634
12-Dec-13,261.6,260,262.7,259.8,3812717
13-Dec-13,260.6,260.8,262.9,259.4,4121325
16-Dec-13,259.2,264.4,264.7,259.2,5327757
17-Dec-13,264.6,256.7,266.2,256.6,8389600
18-Dec-13,257.8,253.2,258.9,251.7,9352696
19-Dec-13,254.8,259.4,260.1,253.2,8532874
20-Dec-13,259.7,261.3,263.5,258.8,7549318
23-Dec-13,261.2,263.3,263.3,259.7,3126612
24-Dec-13,261.9,263.8,265.42,261.9,610362
27-Dec-13,266.3,267.7,269.79,266.3,3869593
30-Dec-13,267.8,263.7,268.1,262.8,3648082
31-Dec-13,263.5,261,266.9,261,1281786
02-Jan-14,261.2,259.5,262.5,258.1,6863997
03-Jan-14,259.9,258.2,261.24,257.78,6852296
06-Jan-14,257.8,256.3,258.84,255.6,6622771
07-Jan-14,255.9,253.6,255.91,250.3,9072553
