Date,Open,Close,High ,Low,Volume
04-Oct-13,389.1,389.8,391.3,388.7,2670174
07-Oct-13,388.7,387.7,392.46,386.6,2303385
08-Oct-13,388.2,384.3,388.2,384.3,2710696
09-Oct-13,384.1,384.2,385.56,382.6,2441376
10-Oct-13,385.6,388.7,391,384.8,3040867
11-Oct-13,389.5,388.5,390.7,387.5,2047543
14-Oct-13,388.8,390,392.1,386.5,2241684
15-Oct-13,392.5,395.3,397.2,392.5,3679585
16-Oct-13,395.9,397.6,399.7,393.3,2765517
17-Oct-13,398.2,396.5,399.6,396.2,3530850
18-Oct-13,397,395,398.59,394.5,5195397
21-Oct-13,396.8,397.3,399.91,395,5295999
22-Oct-13,398.7,398.5,400.9,395.1,2900699
23-Oct-13,399.1,396.5,400.5,392.4,5084900
24-Oct-13,395.7,396.1,398.2,393.9,2701995
25-Oct-13,395.9,396.8,398,394.97,2476603
28-Oct-13,397.4,398.8,399.5,395.54,1981149
29-Oct-13,399.8,398,400.8,397.7,2874422
30-Oct-13,399.9,400.1,400.6,397.9,3684635
31-Oct-13,401.8,394.5,401.8,393.3,4030210
01-Nov-13,395.7,393.9,400.9,392.9,3123568
04-Nov-13,394,395.2,396.7,393.3,2630119
05-Nov-13,396.3,395.7,396.72,393.1,2330091
06-Nov-13,397.1,397,398.43,394.55,2791980
07-Nov-13,397,394.2,399.1,392.46,3651622
08-Nov-13,393.1,395,396.4,392.08,3275847
11-Nov-13,396.7,394,396.7,392.76,2115616
12-Nov-13,394.7,398.8,398.8,394,4450850
13-Nov-13,404.4,410.7,416.7,398.8,12569732
14-Nov-13,417.9,414.6,428,410.7,19757062
15-Nov-13,416.1,409,417.5,407.8,7850147
18-Nov-13,409.1,411.5,414.2,405.8,5175758
19-Nov-13,410.4,411.7,411.7,406.5,4614929
20-Nov-13,406.4,404.8,409.39,401.4,4319010
21-Nov-13,404,404.8,405.69,402.17,2500962
22-Nov-13,404.9,404.6,407.4,403.8,2147377
25-Nov-13,407.9,408.9,413.5,404.6,2997436
26-Nov-13,408.7,405.8,409.4,404.07,4954646
27-Nov-13,405.8,406,411.5,402.7,2734316
28-Nov-13,406.7,407.8,408.8,404.07,2048382
29-Nov-13,408.7,407.4,410.7,406.6,2627164
02-Dec-13,406.7,396.8,407.4,393.3,6864109
03-Dec-13,392.7,395.9,398.54,392.7,5452532
04-Dec-13,397.9,393,399.9,391.1,5602575
05-Dec-13,392.3,389.9,400,387.2,7070565
06-Dec-13,391.2,388.9,392.2,387.2,3534614
