Date,Open,Close,High,Low,Volume
04-Oct-13,365.9,361.5,365.9,360.1,11338453
07-Oct-13,361.4,362,362.85,357.84,9199538
08-Oct-13,362.1,360.5,362.35,359.54,10612841
09-Oct-13,356.5,354.75,360.5,352.95,12656704
10-Oct-13,355.5,355.7,357.11,353.45,11660963
11-Oct-13,358,357.9,359.5,355.7,8631464
14-Oct-13,358.3,361.55,362,357.9,8003971
15-Oct-13,363.45,364.5,366.9,363.4,11210713
16-Oct-13,363.35,365.5,366.71,361.9,10555994
17-Oct-13,364.15,368,369.05,363.2,12641308
18-Oct-13,368.55,369.15,371.1,367.35,22918760
21-Oct-13,369.7,372.2,372.41,368.56,14881332
22-Oct-13,372,371.45,374.85,370.1,24067140
23-Oct-13,371.5,370.05,371.9,369.45,13170740
24-Oct-13,370,371,371.45,368.6,22776160
25-Oct-13,371,370.15,372.55,369.45,15226873
28-Oct-13,371,371.4,372.7,369.9,7931522
29-Oct-13,370.7,369.1,372.15,367,19257548
30-Oct-13,369.2,369,371.3,367.7,13561521
31-Oct-13,368.7,364.2,369.85,363.55,18648678
01-Nov-13,364.3,363.4,364.67,362.35,12646885
04-Nov-13,364.6,362.5,365.4,361.4,8341128
05-Nov-13,363.25,363,364.55,360.3,12371755
06-Nov-13,364.2,363.35,365.6,363,11345620
07-Nov-13,363.15,364.6,366.5,362.85,17615802
08-Nov-13,363.5,366.05,366.65,363,17593116
11-Nov-13,367.05,368,369.3,366.05,16410903
12-Nov-13,368.1,366.8,369.75,366.19,17979224
13-Nov-13,363.2,364.7,366.8,362.55,13714446
14-Nov-13,364,356.15,365.56,354.05,26297842
15-Nov-13,357.05,354.5,357.9,352.73,18398704
18-Nov-13,353.9,358,359.8,352.8,13315449
19-Nov-13,357.65,356.95,358.49,354.35,15876117
20-Nov-13,356.15,352.65,357.55,352.22,20241286
21-Nov-13,352.85,353.7,354.4,351.05,12053963
22-Nov-13,354.6,354.55,356.5,353.7,8093898
25-Nov-13,355.75,354.25,357.85,353.8,7984036
26-Nov-13,354,345.35,354,345.2,27190892
27-Nov-13,344.5,345.45,348.29,341,20438904
28-Nov-13,345.1,348.15,349.13,344.8,8748980
29-Nov-13,348.45,347.95,350.66,347.35,14017270
02-Dec-13,345.85,340.9,347.95,337.23,41778876
03-Dec-13,337,341.6,343,336.1,20971504
04-Dec-13,345,340,352,335,43734280
05-Dec-13,340,333.15,340.1,331.85,19645896
06-Dec-13,333.85,332.9,336,330.95,11567270
09-Dec-13,333.7,333.65,334.3,331.9,10468639
10-Dec-13,333.5,331.95,337.2,331.55,13085216
11-Dec-13,332.25,328.1,333.35,328.1,13519780
12-Dec-13,327.25,325.2,328.78,324.07,15860542
13-Dec-13,325.2,324.2,327.7,323.9,15442663
16-Dec-13,325,331,331.65,324.2,18248164
17-Dec-13,330.25,324.5,331.58,324.5,16324854
18-Dec-13,324.6,319.05,326.15,316.6,21062276
19-Dec-13,320,323.85,324.41,319.05,16573211
20-Dec-13,326,332.2,333.35,323.85,42643840
23-Dec-13,333.6,335.4,335.8,331.75,11908397
24-Dec-13,337,336.5,338.3,335.65,3955437
27-Dec-13,338.35,340,341.16,338.35,7793498
30-Dec-13,340.35,336.35,341.3,334.82,7357908
31-Dec-13,336.8,334.35,339.8,334,3709124
02-Jan-14,335.55,330.05,338.1,328.25,14926464
03-Jan-14,331.45,330.5,332.89,328.9,13053502
06-Jan-14,332,332.2,333.8,330.15,13900459
07-Jan-14,333.3,331.75,334.95,330.35,17197600
08-Jan-14,335,328.3,337.95,324.5,35238152
09-Jan-14,323,324.35,329.47,315.3,32859256
10-Jan-14,324.15,321.8,324.94,319.35,26271404
13-Jan-14,322.05,326.55,327.85,321.95,16135418
